data|ExistingDMD (rank=5)|CenteredDMD d=50 e=.99 rmax=20|UnitCircleDMD d=50 e=.99 rmax=20|UnitCircleDMD d=100 e=.99 rmax=40|HAVOK d=100 r=11|HAVOK d=200 r=25
894.0|788.371|934.748|959.709|999.544|961.165|882.005
851.0|784.112|940.067|923.353|970.605|978.174|859.994
829.0|781.39|944.772|891.839|933.17|992.732|844.867
814.0|780.456|948.584|870.821|902.604|1003.768|837.644
806.0|781.385|951.443|864.149|892.335|1010.588|838.719
804.0|784.07|953.402|873.112|909.192|1012.83|847.854
821.0|788.233|954.511|896.229|950.827|1010.449|864.209
857.0|793.455|954.745|929.637|1006.154|1003.74|886.409
902.0|799.216|953.99|967.952|1058.697|993.312|912.695
945.0|804.951|952.101|1005.378|1091.713|980.013|941.006
982.0|810.101|948.993|1036.776|1093.354|964.857|969.154
1012.0|814.171|944.732|1058.462|1060.129|948.951|994.982
1035.0|816.775|939.595|1068.573|997.584|933.42|1016.527
1045.0|817.673|934.062|1067.01|918.119|919.473|1032.184
1026.0|816.796|928.751|1055.048|836.857|908.088|1040.82
1003.0|814.245|924.315|1034.827|767.135|900.085|1041.902
993.0|810.284|921.327|1008.862|717.184|895.939|1035.534
992.0|805.313|920.182|979.738|689.041|896.185|1022.433
997.0|799.824|921.042|949.982|679.805|900.864|1003.898
1008.0|794.356|923.821|922.078|684.454|909.913|981.674
994.0|789.439|928.216|898.481|698.895|922.982|957.803
977.0|785.548|933.756|881.555|721.916|939.431|934.415
928.0|783.049|939.861|873.347|755.261|958.166|913.525
888.0|782.175|945.905|875.233|801.875|977.93|896.816
867.0|782.994|951.278|887.532|863.15|997.12|885.482
852.0|785.413|955.438|909.214|936.456|1014.101|880.157
842.0|789.184|957.974|937.835|1014.141|1027.437|880.862
854.0|793.93|958.652|969.752|1084.597|1035.922|887.022
877.0|799.183|957.449|1000.63|1135.181|1038.604|897.535
901.0|804.433|954.56|1026.125|1156.014|1035.119|910.943
943.0|809.171|950.37|1042.608|1143.308|1025.626|925.609
979.0|812.945|945.396|1047.788|1100.97|1010.74|939.909
994.0|815.399|940.204|1041.079|1039.857|991.596|952.397
1006.0|816.309|935.328|1023.678|974.84|969.69|961.982
